timestamp[ns],x[m/s^2],y[m/s^2],z[m/s^2]
865507451361029,9.069513,0.090982445,-2.3631492
865507453362395,9.569917,-0.45251793,-1.9680939
865507455363761,10.640158,-1.6281068,-0.35674694
865507457365094,13.379208,-3.512401,-3.3112822
865507459366427,19.046455,-8.724737,-6.490879
865507461367793,21.3282,-10.755082,-5.3512044
865507463366093,23.55248,-10.740717,-13.896371
865507465367426,22.226053,-7.8987126,-14.976189
865507467368792,15.191673,1.6712039,-2.0064023
865507469370125,13.508498,4.537151,2.5307484
865507471371758,11.9953165,6.0239954,6.179623
865507473373091,9.4142885,4.2139235,8.260248
865507475372891,5.4924664,-0.818842,2.5642684
865507477374191,1.333611,-3.0024207,-0.85954463
865507479382357,0.12450229,-1.8364087,-1.934574
865507481383690,-2.0686533,2.832427,-4.271386
865507483382056,-3.684789,5.176422,-5.341627
865507485383422,-6.9146657,8.083072,-6.124555
865507487380655,-7.7694216,8.305739,-5.9114647
865507489381988,-7.307327,8.044764,-6.407079
865507491383788,-7.312115,8.945011,-4.292935
865507493385121,-6.426234,9.90272,-1.7621863
865507495386454,-5.0591025,9.864412,-1.647261
865507497391254,-1.2881198,7.9513865,0.80687064
865507499392587,0.43575802,6.8452315,0.79250497
865507501400053,2.2075214,5.9018874,1.8747171
865507503401719,5.133325,4.6065845,4.350397
865507505403552,9.016839,3.15326,5.2578273
865507507400285,11.533222,1.8866886,5.916253
865507509401618,12.548394,1.1803775,6.138921
865507511402918,15.462227,-0.38068968,6.0311785
865507513404251,17.291452,-1.0965779,5.952167
865507515405551,19.906,-2.4493432,7.144516
865507517406884,19.874876,-3.110163,9.069513
865507519408250,20.035292,-3.2921278,8.083072
865507521411416,21.857334,-4.2618093,3.5243726
865507523412716,23.102358,-5.808511,3.3088877
865507525414716,22.6666,-6.464542,3.0694604
865507527416349,22.999403,-8.444607,4.3911
865507529417982,23.90444,-9.000079,5.8659735
865507531419348,24.333015,-9.63935,6.2490573
865507533421014,24.160627,-10.838882,4.8843207
865507535422614,25.324245,-10.472558,0.7829279
865507537428214,27.83105,-8.439818,-5.621757
865507539422880,28.080055,-6.960157,-8.655303
865507541424513,26.03295,-3.634509,-8.279403
865507543425879,24.744831,-2.5044115,-5.5116205
865507545427445,21.953106,-1.1923488,-2.944958
865507547434878,18.227613,-0.21787901,-0.65363705
865507549436544,15.830945,0.22027329,-0.38308397
865507551437444,11.24112,0.3998439,-1.7214836
865507553439077,9.794978,-0.10055954,-0.68715686
865507555443377,7.580274,-0.36871833,3.5076127
865507557441210,4.2474437,-0.42378664,5.1213536
865507559442576,2.7366562,-0.13168511,3.572258
865507561437809,1.802889,1.4054393,0.7589851
865507563439142,2.0399222,3.2633965,-5.5954204
865507565440275,1.9178141,4.1085753,-8.174054
865507567441941,0.6273,5.032766,-7.719142
865507569443574,0.3304099,4.6496816,-7.039168
865507571445274,0.13886794,3.9529476,-5.8587904
865507573446607,0.08619389,1.9896424,-3.2035396
865507575451173,0.17478207,0.2944958,-2.1332989
865507577452839,1.9178141,-1.0343267,-3.067066
865507579454172,1.9178141,-1.0343267,-3.067066
865507581453972,3.337619,-0.9505271,-6.158075
865507583455638,3.8715425,-0.35914123,-6.8165
865507585456571,4.2235007,1.4916332,-5.0591025
865507587457804,5.106988,2.6935592,-5.9976583
865507589459170,5.4709177,2.6360965,-6.0263896
865507591460503,5.995264,1.1540405,-6.4932733
865507593461803,5.956956,-0.5554718,-3.9433706
865507595463203,5.688797,-1.1540405,-3.8212626
865507597460636,4.7717896,-0.57223165,-2.7893302
865507599462136,4.2546263,-0.038308397,-2.430189
865507601463502,3.9433706,0.39505535,-2.6169424
865507603464835,3.7661943,-0.009577099,-1.7071179
865507605465935,3.5962007,-0.89067024,-3.3950818
865507607461501,3.1987512,0.28731298,-4.723904
865507609462834,3.6129606,0.9433443,-5.420638
865507611464834,4.8340406,2.4086404,-6.941003
865507613466200,5.36557,2.7127132,-7.937021
865507615464900,7.2426815,2.4493432,-7.944204
865507617466266,9.253872,2.1620302,-5.786962
865507619467599,9.830893,1.9920366,-4.7071443
865507621468932,10.862824,1.5993756,-1.7741576
865507623471198,11.945037,1.5275474,0.55786604
865507625472598,12.186859,1.7286664,1.5969813
865507627478798,11.459,2.0016139,1.9273912
865507629480164,11.169292,2.2889266,0.8547561
865507631481497,11.12859,2.5044115,-0.86912173
865507633483163,12.062357,2.4613144,-2.0279508
865507635481629,13.78384,1.1923488,-1.0558752
865507637482962,15.0719595,-0.93616146,2.8108785
865507639484595,15.244348,-1.7430321,4.3192716
865507641485961,15.328147,-1.4533248,6.591439
865507643488394,14.976189,-0.339987,8.425453
865507645489794,13.982565,1.1181264,9.950606
865507647492194,13.824543,0.5219519,5.2865586
865507649493527,13.898766,0.19633053,3.0646718
865507651499727,14.169318,0.14126222,-0.102953814
865507653501127,14.358466,0.38547826,-1.3096683
865507655506127,14.818167,0.22745611,-1.1348863
865507657507460,15.708837,-0.7733508,2.6887705
865507659509526,15.708837,-1.1133378,2.9593236
865507661510859,16.503736,-1.515576,2.885101
865507663512192,16.403177,-2.1117504,2.6767993
865507665513858,16.051218,-1.924997,2.8898897
865507667515191,13.333716,-0.9768641,5.2410674
865507669516524,12.301784,-0.7972935,4.9369946
865507671517524,10.271439,-0.062251143,2.9234095
865507673518857,9.335278,0.34956414,1.0032011
865507675519857,8.499676,0.75180227,-2.6839821
865507677521223,10.489318,-0.26337022,-9.598648
865507679522556,12.26587,-1.2857256,-11.729552
865507681523889,14.169318,-3.2729738,-10.690437
865507683524322,13.709618,-3.6225379,-6.1892004
865507685530655,12.790216,-3.6369035,1.9633054
865507687527121,11.851661,-3.4142358,6.4932733
865507689528421,11.243514,-3.2897336,5.0926223
865507691529754,10.360027,-3.2179053,-2.0423164
865507693531054,9.047964,-2.569057,-5.523592
865507695532387,7.9681463,-2.0518935,-6.675238
865507697533720,3.6584518,0.31604427,-1.7573977
865507699535086,2.2314641,1.0558752,-0.54828894
865507701542519,1.2258687,1.9920366,0.531529
865507703542752,0.70631105,1.8603516,-0.57462597
865507705544118,0.74701375,1.4269878,-4.4054656
865507707544484,1.3623424,1.1037607,-6.6848154
865507709545817,2.0854135,0.74701375,-7.8891354
865507711542317,2.360755,0.62251145,-5.5978146
